"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"GTPU_END_MARKER_MESSAGES_SENT","NUMBER","Yes","",52,"","YES","YES","YES"
"GTPU_GPDU_PKTS_RECV_DT","NUMBER","Yes","",53,"","YES","YES","YES"
"GTPU_GPDU_PKTS_SENT_DT","NUMBER","Yes","",54,"","YES","YES","YES"
"GTPU_GPDU_BYTES_RECV_DT","NUMBER","Yes","",55,"","YES","YES","YES"
"GTPU_GPDU_BYTES_SENT_DT","NUMBER","Yes","",56,"","YES","YES","YES"
"GTPU_ECHO_REQUESTS_SENT","NUMBER","Yes","",57,"","YES","YES","YES"
"GTPU_ECHO_RESPONSE_RECEIVED","NUMBER","Yes","",58,"","YES","YES","YES"
"GTPU_ECHO_REQ_RESEND_EXCEED_N3","NUMBER","Yes","",59,"","YES","YES","YES"
"GTPU_DHCPV6_PKTS_RECEIVED","NUMBER","Yes","",60,"","YES","YES","YES"
"GTPU_PKTS_RECEIVED","NUMBER","Yes","",61,"","YES","YES","YES"
"GTPU_PKTS_SENT","NUMBER","Yes","",62,"","YES","YES","YES"
"GTPU_BYTES_RECEIVED","NUMBER","Yes","",63,"","YES","YES","YES"
"GTPU_BYTES_SENT","NUMBER","Yes","",64,"","YES","YES","YES"
"GTPU_UPLINK_THROUGHPUT","NUMBER","Yes","",65,"","YES","YES","YES"
"GTPU_DOWNLINK_THROUGHPUT","NUMBER","Yes","",66,"","YES","YES","YES"
"GTPU_DT_RNC_ERR_IND_TRANSITION","NUMBER","Yes","",67,"","YES","YES","YES"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"GTPU_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",4,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",5,"","YES","YES","YES"
"GTPU_SUPP_EXT_HDR_NOTIF_SENT","NUMBER","Yes","",6,"","YES","YES","YES"
"GTPU_ERROR_INDICATION_SENT","NUMBER","Yes","",7,"","YES","YES","YES"
