"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"SM_IMS_DEDIC_BEAR_ACT_S11","NUMBER","Yes","",48,"","YES","YES","YES"
"SM_IMS_QCI1_DED_BEAR_ACT_S11","NUMBER","Yes","",49,"","YES","YES","YES"
"SM_SUCC_IMS_DEDIC_BEAR_ACT_S11","NUMBER","Yes","",50,"","YES","YES","YES"
"SM_SUC_IMSQC1_DED_BEAR_ACT_S11","NUMBER","Yes","",51,"","YES","YES","YES"
"SM_IMS_DEDIC_BEAR_MOD_S11","NUMBER","Yes","",52,"","YES","YES","YES"
"SM_IMS_QCI1_DED_BEAR_MOD_S11","NUMBER","Yes","",53,"","YES","YES","YES"
"SM_SUC_IMS_DEDIC_BEAR_MOD_S11","NUMBER","Yes","",54,"","YES","YES","YES"
"SM_SUC_IMSQC1_DED_BEAR_MOD_S11","NUMBER","Yes","",55,"","YES","YES","YES"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"SGWP_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",4,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",5,"","YES","YES","YES"
"SM_NBR_ACT_SGW_RAT_UNKNOWN","NUMBER","Yes","",6,"","YES","YES","YES"
"SM_NBR_ACT_SGW_RAT_2G","NUMBER","Yes","",7,"","YES","YES","YES"
"SM_NBR_ACT_SGW_RAT_3G","NUMBER","Yes","",8,"","YES","YES","YES"
"SM_SUCC_SGW_SESS_MOD","NUMBER","Yes","",9,"","YES","YES","YES"
"SM_FAIL_SGW_SESS_MOD","NUMBER","Yes","",10,"","YES","YES","YES"
"SM_SUCC_SGW_BEAR_MOD","NUMBER","Yes","",11,"","YES","YES","YES"
"SM_FAIL_SGW_BEAR_MOD","NUMBER","Yes","",12,"","YES","YES","YES"
"SM_NBR_ACT_SGW_RAT_4G","NUMBER","Yes","",13,"","YES","YES","YES"
"SM_FAIL_BEAR_DIA_SGW_SESS","NUMBER","Yes","",14,"","YES","YES","YES"
"SM_ACT_SGW_DIA_CONN","NUMBER","Yes","",15,"","YES","YES","YES"
"SM_NBR_DT_SGW_SESS","NUMBER","Yes","",16,"","YES","YES","YES"
"SM_NBR_DT_TO_NONDT_SGW_SESS","NUMBER","Yes","",17,"","YES","YES","YES"
"SM_NBR_DT_SGW_BEAR","NUMBER","Yes","",18,"","YES","YES","YES"
"SM_NBR_DT_TO_NONDT_SGW_BEAR","NUMBER","Yes","",19,"","YES","YES","YES"
"SM_FAIL_SGW_SESS_DIA_GXC_ACT","NUMBER","Yes","",20,"","YES","YES","YES"
"SM_SGW_SESS_DIA_GXC_ACT","NUMBER","Yes","",21,"","YES","YES","YES"
"SM_NBR_ACT_SGW_SESS","NUMBER","Yes","",22,"","YES","YES","YES"
"SM_SUCC_SGW_SESS_ACT","NUMBER","Yes","",23,"","YES","YES","YES"
"SM_FAIL_SGW_SESS_ACT","NUMBER","Yes","",24,"","YES","YES","YES"
"SM_SGW_SESS_TIMER_EXPIRY","NUMBER","Yes","",25,"","YES","YES","YES"
"SM_SGW_ISR_ACT_UE","NUMBER","Yes","",26,"","YES","YES","YES"
"SM_NBR_ISR_ACT_UE","NUMBER","Yes","",27,"","YES","YES","YES"
"SM_SUCC_SGW_DEDIC_BEAR_ACT","NUMBER","Yes","",28,"","YES","YES","YES"
"SM_FAIL_SGW_DEDIC_BEAR_ACT","NUMBER","Yes","",29,"","YES","YES","YES"
"SM_NBR_ACT_SGW_BEAR","NUMBER","Yes","",30,"","YES","YES","YES"
"SM_ATT_BEARER_ACT_MME","NUMBER","Yes","",31,"","YES","YES","YES"
"SM_ATT_BEARER_ACT_SGSN","NUMBER","Yes","",32,"","YES","YES","YES"
"SM_SUCC_BEARER_ACT_MME","NUMBER","Yes","",33,"","YES","YES","YES"
"SM_SUCC_BEARER_ACT_SGSN","NUMBER","Yes","",34,"","YES","YES","YES"
"SM_ATT_DEDIC_BEARER_ACT_S11","NUMBER","Yes","",35,"","YES","YES","YES"
"SM_ATT_DEDIC_BEARER_ACT_S4","NUMBER","Yes","",36,"","YES","YES","YES"
"SM_SUCC_DEDIC_BEARER_ACT_S11","NUMBER","Yes","",37,"","YES","YES","YES"
"SM_SUCC_DEDIC_BEARER_ACT_S4","NUMBER","Yes","",38,"","YES","YES","YES"
"SM_ATT_BEARER_MOD_S11","NUMBER","Yes","",39,"","YES","YES","YES"
"SM_ATT_BEARER_MOD_S4","NUMBER","Yes","",40,"","YES","YES","YES"
"SM_SUCC_BEARER_MOD_S11","NUMBER","Yes","",41,"","YES","YES","YES"
"SM_SUCC_BEARER_MOD_S4","NUMBER","Yes","",42,"","YES","YES","YES"
"SM_NBR_ACT_S_GW_UE","NUMBER","Yes","",43,"","YES","YES","YES"
"SM_MAX_NBR_ACT_SGW_BEAR","NUMBER","Yes","",44,"","YES","YES","YES"
"SM_AVE_NBR_ACT_SGW_BEAR","NUMBER","Yes","",45,"","YES","YES","YES"
"SM_MAX_NBR_ACT_S_GW_UE","NUMBER","Yes","",46,"","YES","YES","YES"
"SM_AVE_NBR_ACT_S_GW_UE","NUMBER","Yes","",47,"","YES","YES","YES"
