"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS","INSERTABLE","UPDATABLE","DELETABLE"
"GTPCV2_RESUM_NOTIF_SENT","NUMBER","Yes","",54,"","YES","YES","YES"
"GTPCV2_RESUM_NOTIF_RECV_S11","NUMBER","Yes","",55,"","YES","YES","YES"
"GTPCV2_RESUM_NOTIF_RECV_S4","NUMBER","Yes","",56,"","YES","YES","YES"
"GTPCV2_RESUM_NOTIF_SENT_S5","NUMBER","Yes","",57,"","YES","YES","YES"
"GTPCV2_RESUM_NOTIF_RECV_S5","NUMBER","Yes","",58,"","YES","YES","YES"
"GTPCV2_TRACE_SESS_ACT_RECV","NUMBER","Yes","",59,"","YES","YES","YES"
"GTPCV2_TRACE_SESS_ACT_SENT","NUMBER","Yes","",60,"","YES","YES","YES"
"GTPCV2_TRACE_SESS_DEACT_RECV","NUMBER","Yes","",61,"","YES","YES","YES"
"GTPCV2_TRACE_SESS_DEACT_SENT","NUMBER","Yes","",62,"","YES","YES","YES"
"GTPCV2_CHANGE_NOTIF_REQ_RECV","NUMBER","Yes","",63,"","YES","YES","YES"
"GTPCV2_CHANGE_NOTIF_REQ_SENT","NUMBER","Yes","",64,"","YES","YES","YES"
"GTPCV2_CHANGE_NOTIF_RESP_RECV","NUMBER","Yes","",65,"","YES","YES","YES"
"GTPCV2_CHANGE_NOTIF_RESP_SENT","NUMBER","Yes","",66,"","YES","YES","YES"
"FING_ID","NUMBER","No","",1,"","YES","YES","YES"
"FNODE_ID","VARCHAR2(255)","No","",2,"","YES","YES","YES"
"GTPCV2_ID","VARCHAR2(255)","No","",3,"","YES","YES","YES"
"PERIOD_START_TIME","DATE","No","",4,"","YES","YES","YES"
"PERIOD_DURATION","NUMBER","Yes","",5,"","YES","YES","YES"
"GTPCV2_CRE_SESS_REQ_RECV","NUMBER","Yes","",6,"","YES","YES","YES"
"GTPCV2_MOD_BEARER_REQ_RECV","NUMBER","Yes","",7,"","YES","YES","YES"
"GTPCV2_DEL_SESS_REQ_RECV","NUMBER","Yes","",8,"","YES","YES","YES"
"GTPCV2_BYTES_IN_RECV_MSGS","NUMBER","Yes","",9,"","YES","YES","YES"
"GTPCV2_BYTES_IN_SENT_MSGS","NUMBER","Yes","",10,"","YES","YES","YES"
"GTPCV2_RECV_ECHO_REQ","NUMBER","Yes","",11,"","YES","YES","YES"
"GTPCV2_SENT_ECHO_REQ","NUMBER","Yes","",12,"","YES","YES","YES"
"GTPCV2_RECV_ECHO_RESP","NUMBER","Yes","",13,"","YES","YES","YES"
"GTPCV2_SENT_ECHO_RESP","NUMBER","Yes","",14,"","YES","YES","YES"
"GTPCV2_MME_RST_BASED_ON_REC_IE","NUMBER","Yes","",15,"","YES","YES","YES"
"GTPCV2_MME_RST_BASED_ON_ECHO","NUMBER","Yes","",16,"","YES","YES","YES"
"GTPCV2_REL_ACC_BEAR_REQ_RECV","NUMBER","Yes","",17,"","YES","YES","YES"
"GTPCV2_DEL_SESS_REQ_SENT","NUMBER","Yes","",18,"","YES","YES","YES"
"GTPCV2_DEL_SESS_REQ_EXCEED_N3","NUMBER","Yes","",19,"","YES","YES","YES"
"GTPCV2_DL_DATA_NOTIF_SENT","NUMBER","Yes","",20,"","YES","YES","YES"
"GTPCV2_DL_DATA_NOTIF_EXCEED_N3","NUMBER","Yes","",21,"","YES","YES","YES"
"GTPCV2_DEL_BEARER_REQ_SENT","NUMBER","Yes","",22,"","YES","YES","YES"
"GTPCV2_DEL_BEAR_REQ_EXCEED_N3","NUMBER","Yes","",23,"","YES","YES","YES"
"GTPCV2_UPDATE_BEAR_REQ_SENT","NUMBER","Yes","",24,"","YES","YES","YES"
"GTPCV2_UP_BEAR_REQ_EXCEED_N3","NUMBER","Yes","",25,"","YES","YES","YES"
"GTPCV2_CRE_IND_DATAFW_REQ_RECV","NUMBER","Yes","",26,"","YES","YES","YES"
"GTPCV2_DEL_IND_DATAFW_REQ_RECV","NUMBER","Yes","",27,"","YES","YES","YES"
"GTPCV2_CREATE_SESSION_REQ_SENT","NUMBER","Yes","",28,"","YES","YES","YES"
"GTPCV2_MODIFY_BEARER_REQ_SENT","NUMBER","Yes","",29,"","YES","YES","YES"
"GTPCV2_DEL_BEARER_REQ_RECV","NUMBER","Yes","",30,"","YES","YES","YES"
"GTPCV2_CRE_BEARER_REQ_RECV","NUMBER","Yes","",31,"","YES","YES","YES"
"GTPCV2_UP_BEARER_REQ_RECV","NUMBER","Yes","",32,"","YES","YES","YES"
"GTPCV2_CRE_BEARER_REQ_SENT","NUMBER","Yes","",33,"","YES","YES","YES"
"GTPCV2_BEARER_RESOURCE_CMD_REC","NUMBER","Yes","",34,"","YES","YES","YES"
"GTPCV2_DELETE_BEARER_CMD_REC","NUMBER","Yes","",35,"","YES","YES","YES"
"GTPCV2_STOP_PAGING_IND","NUMBER","Yes","",36,"","YES","YES","YES"
"GTPCV2_CRE_SESS_REQ_RECV_S11","NUMBER","Yes","",37,"","YES","YES","YES"
"GTPCV2_CRE_SESS_REQ_RECV_S4","NUMBER","Yes","",38,"","YES","YES","YES"
"GTPCV2_MOD_BEARER_CMD_RECV","NUMBER","Yes","",39,"","YES","YES","YES"
"GTPCV2_MOD_BEAR_FAIL_IND_SENT","NUMBER","Yes","",40,"","YES","YES","YES"
"GTPCV2_CRE_SESS_REQ_SENT_S5","NUMBER","Yes","",41,"","YES","YES","YES"
"GTPCV2_CRE_SESS_REQ_RECV_S5","NUMBER","Yes","",42,"","YES","YES","YES"
"GTPCV2_MOD_BEARER_CMD_SENT","NUMBER","Yes","",43,"","YES","YES","YES"
"GTPCV2_DEL_BEAR_FAIL_IND_SENT","NUMBER","Yes","",44,"","YES","YES","YES"
"GTPCV2_DEL_BEARER_CMD_SENT","NUMBER","Yes","",45,"","YES","YES","YES"
"GTPCV2_MOD_ACC_BEAR_REQ_RECV","NUMBER","Yes","",46,"","YES","YES","YES"
"GTPCV2_SUSP_NOTIF_RECV","NUMBER","Yes","",47,"","YES","YES","YES"
"GTPCV2_SUSP_NOTIF_SENT","NUMBER","Yes","",48,"","YES","YES","YES"
"GTPCV2_SUSP_NOTIF_RECV_S11","NUMBER","Yes","",49,"","YES","YES","YES"
"GTPCV2_SUSP_NOTIF_RECV_S4","NUMBER","Yes","",50,"","YES","YES","YES"
"GTPCV2_SUSP_NOTIF_SENT_S5","NUMBER","Yes","",51,"","YES","YES","YES"
"GTPCV2_SUSP_NOTIF_RECV_S5","NUMBER","Yes","",52,"","YES","YES","YES"
"GTPCV2_RESUM_NOTIF_RECV","NUMBER","Yes","",53,"","YES","YES","YES"
